date,week,name,ipeds_id,total_tests,positive_tests,cumulative_cases,cumulative_tests,testing_fall2020,status,status_merge,total_tests_per_1000_enrollment,positive_tests_per_1000_enrollment,cumulative_cases_per_1000_enrollment,cumulative_tests_per_1000_enrollment,enrollment_fulltime,fips,city
2020-10-22,11,Amherst College,164465,1136,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,612.3989218328842,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-10-23,11,Amherst College,164465,289,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,155.79514824797843,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-10-24,12,Amherst College,164465,0,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,0.0,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-10-25,12,Amherst College,164465,968,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,521.8328840970349,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-10-26,12,Amherst College,164465,361,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,194.60916442048517,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-10-27,12,Amherst College,164465,1077,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,580.5929919137466,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-10-28,12,Amherst College,164465,3,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,1.6172506738544474,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-10-29,12,Amherst College,164465,1142,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,615.633423180593,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-10-30,12,Amherst College,164465,272,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,146.63072776280322,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-10-31,13,Amherst College,164465,0,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,0.0,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-11-01,13,Amherst College,164465,937,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,505.12129380053904,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-11-02,13,Amherst College,164465,356,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,191.91374663072776,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-11-03,13,Amherst College,164465,1075,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,579.5148247978436,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-11-04,13,Amherst College,164465,0,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,0.0,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-11-05,13,Amherst College,164465,1108,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,597.3045822102426,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-11-06,13,Amherst College,164465,310,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,167.11590296495956,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-11-07,14,Amherst College,164465,0,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,0.0,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
